track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature
6U1FZKN8kPWJNLnGqAWX4d,2023-08-11T07:27:37Z,Muori!,2h2JocXmw1JjBM52U1sHL9,0UzEWU7bayHtdSV0pi2aQd,['4aAiKU8UocJHjZfxjQuaCU'],152951,True,0,0,188.256,0.969,0.406,0.414,-4.737,0.0806,0.0,0.164,1,0.138,4
2TB6N2b4m312syOhW86L78,2023-08-11T07:27:37Z,9MM,7zvA7MTa3LecAa491Ho10i,0MnomJDrX3FmjLCNuTLfz6,[],138503,True,0,6,129.999,0.624,0.703,0.646,-6.747,0.321,5.2e-06,0.166,1,0.0379,4
5Ev582e7ykI3jVCCJ0ECZM,2023-08-11T07:27:37Z,Good Enough,3HVCEunHy1YDjtBjmWNdtv,4SdIXLzfabqU61iK7SnKAU,[],182516,False,0,0,167.992,0.718,0.341,0.114,-3.784,0.00961,1.59e-05,0.145,1,0.052,4
69WiLaNQxDcf4yjAWcDruZ,2023-08-11T07:27:37Z,Drunk & Loud,5v9ShaPCZn1arjR9BmkUNy,4ae1CMoZOjwIOUmhJlA9Tt,[],114964,False,5,8,128.059,0.853,0.54,0.516,-4.916,0.000487,0.0097,0.267,1,0.036,4
7nT21dQ4yANGF98T5kaZoG,2023-08-11T07:27:37Z,Before,3dWIZSGz9moClPtrw9u9Zu,5isqImG0rLfAgBJSPMEVXF,[],268122,False,19,1,129.995,0.746,0.66,0.344,-8.131,0.492,0.0349,0.0817,1,0.025,4
6d1s6hUquEKUml3y8tiG2q,2023-08-11T07:27:37Z,Welcome to the Show,17yIxFRdGF7Kt2NdupdPzh,3EhbVgyfGd7HkpsagwL9GS,[],216720,False,23,1,76.007,0.953,0.48,0.321,-2.706,0.0024,0.0,0.0968,1,0.103,4
7Idwen98apdGsJh7B4vSTA,2023-08-11T07:27:37Z,Dammene ancora un po',6S7CreBwrPpnS6JZBc0S15,7fBNjQ2hEvNyisqpp8o4ZT,['78BNTkfK1PBUMe9EfJKKGX'],137931,False,0,2,174.961,0.948,0.59,0.866,-3.792,0.00049,2.28e-06,0.0747,1,0.161,4
1NQCinyxiglxekxXVPEhnC,2023-08-11T07:27:37Z,Peacock Revisit (feat. Ice Beats Slide & Sbuda Maleather),5Ne85eKSShHPNuoGZCfBik,68McnNC9twEtiynOAJRRgZ,"['6ynMrlCLJfmijr0XFdtvH5', '0vOrz3mJAqpGuC53lbEOeq']",326048,False,0,2,111.98,0.443,0.582,0.26,-11.856,0.00758,0.5,0.0499,1,0.0983,4
1K9qAxGT4cWUicf2OezSen,2023-08-10T22:01:00Z,VETRI NERI,1vU1ePx8IOwsYRo5nh63nn,7zPS3i8YJBNeDcqXUHfCMr,"['7K80yOTC0Id95gRaOxDG5u', '5SulO4l40qDuV9zUGLZx7n']",164776,True,85,6,134.084,0.767,0.754,0.529,-4.98,0.0763,4.79e-05,0.112,1,0.0594,4
2qrCResILkL1JFeRBrv3qA,2023-08-10T22:01:00Z,bellissimissima <3,2uKdFaQMLtLkOHthm855ns,7GacyaFUp0qkEJglERX9N7,[],157031,False,82,10,101.853,0.841,0.734,0.951,-4.501,0.144,0.0,0.359,0,0.186,4
1vYXt7VSjH9JIM5oRRo7vA,2023-08-10T22:01:00Z,Dance The Night (From Barbie The Album),5cH7FqB7JD5q1tJXJ7FHYu,6M2wZ9GZgrQXHCFfjv46we,[],176579,False,97,11,110.056,0.845,0.671,0.775,-4.93,0.0207,0.0,0.329,0,0.048,4
3QAU2pj4LUKf7yaTgANlQV,2023-08-10T22:01:00Z,ITALODISCO,38cYOdPjt5btA4AMYmbZjn,72A0Z8q8NiochyK9gUHpCR,[],199512,False,84,11,123.038,0.579,0.885,0.817,-5.14,0.00318,0.0,0.0708,0,0.0596,4
1nRBnmoVz7Hgs8ZQAbTqMK,2023-08-10T22:01:00Z,Rubami la Notte,0yMMpOLjvKuWs2dnXlGgYK,6RdcIWVKYYzNzjQRd3oyHS,[],189583,False,80,7,77.002,0.882,0.547,0.634,-5.189,0.067,0.0,0.613,1,0.0376,4
4bJGPVI2hTmIrmz4PUKCeQ,2023-08-10T22:01:00Z,"BON TON (feat. Lazza, Blanco, Sfera Ebbasta & Michelangelo)",0wseGI0Yw53Ys8W7QGX36a,0qts5zYDAeK8dBmrdF2Zwq,"['0jdNdfi4vAuVi7a6cPDFBM', '1MRiIeZbc0cRuxOafDUCtH', '23TFHmajVfBtlRx5MXqgoz', '1K7IC4qha4KEXySo6yZmnH']",238533,False,82,11,129.988,0.814,0.678,0.647,-5.242,0.0777,1.27e-06,0.158,1,0.0396,4
4Js31maTathTS2flQOQr2c,2023-08-10T22:01:00Z,Fragole,4Uyh7I3ywchoaZaZaQE4cZ,0lI3rF4hi4op6UxqlLHPzv,['2aya6KuqjXEhHBqYKsTPLs'],209621,False,79,7,89.024,0.66,0.686,0.69,-4.052,0.0912,0.0,0.209,1,0.0495,4
3VtGh8xE9qRsFyY2Uj1WG3,2023-08-10T22:01:00Z,Hoe (feat. Sfera Ebbasta),4ir7AIjfrMVHTxZhnfzhWl,1AgAVqo74e2q4FVvg0xpT7,['23TFHmajVfBtlRx5MXqgoz'],137098,False,83,2,114.044,0.757,0.936,0.406,-6.616,0.0974,0.0,0.156,1,0.117,4
6VOoSi7mgFrKCeymxG6wKB,2023-08-10T22:01:00Z,DISCO PARADISE,3DIE5BHMhtSsi38Nhi1z4e,3pgCLfNbw5ozIfoNsvDU7i,"['0EqkKYDK9EkKY5N7zU3FPv', '1Ij5ZIGlPTkoZibay58zHe']",198536,False,82,2,122.971,0.923,0.776,0.841,-1.749,0.0651,0.0,0.112,1,0.0682,4
0JONs2ETXIHvYVxNris8Bf,2023-08-10T22:01:00Z,TAXI SULLA LUNA,1Q2gs2NTXULiFqwCiv5JdG,6CKch2otN4SPznHf9ms5JF,"['0gzwXezN4IUHAwLufA6YcX', '76UCIJTB0jcJvBaL0CdIqx']",143500,False,81,8,120.015,0.735,0.861,0.604,-5.696,0.0687,0.0,0.0996,1,0.0835,4
3xee23Fj4m6DVu9UrWX5Up,2023-08-10T22:01:00Z,Ci pensiamo domani,4mDNlXka14q7OXt8nwzylf,1A6HBLulvBFzNtlMb7b08f,[],180184,False,81,11,122.045,0.666,0.857,0.759,-3.57,0.0425,0.0,0.248,0,0.0738,4
1UcJs6RsX9upkeaFCNPBNs,2023-08-10T22:01:00Z,Mon Amour,6q7bwUSY4WvyD6WkyDtbzH,0EqkKYDK9EkKY5N7zU3FPv,[],203225,False,81,0,124.056,0.815,0.761,0.717,-3.023,0.0078,2.08e-06,0.24,0,0.0953,4
2hHC2jw8qiE4IAPDGjU4Fu,2023-08-10T22:01:00Z,"Gelosa (feat. Shiva, Sfera Ebbasta, Guè)",0EtbYgB5v6HF3VgWVYOOOi,3GWuJyC9r6Ug0F6jeLzTpY,"['2K5nCggbhSZ00YCYP5qkZS', '23TFHmajVfBtlRx5MXqgoz', '7F2utINZ6tSokSiZTQBE27']",181611,False,82,7,150.068,0.672,0.726,0.479,-5.5,0.0378,0.0,0.105,1,0.0704,4
01Lhwz9MYE6hu58oLQjOxh,2023-08-10T22:01:00Z,Un Altro Mondo (con Tananai & Marracash),4ryxRPTcHPcbSKN8WbmHDC,5rRcnWrevHgbuWjl7Lhft7,"['35V1WomiedCJeGfupcPm7s', '5AZuEF0feCXMkUCwQiQlW7']",167647,False,76,8,135.987,0.913,0.584,0.326,-3.446,0.187,0.0,0.0872,1,0.0883,4
