artist_id,artist_name,artist_followers,artist_genres,artist_popularity
5IHCrF13cQEloLpmYjaaqp,Prod by Enemies,584,[],21
7H9TcusDoz60eSTxB0Avxn,Blue Virus,55163,['italian hip hop'],34
54OEro9sWZ3mVfMdlz2CIt,Royal Deluxe,114603,['rebel blues'],48
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,5953862,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",70
4rTv3Ejc7hKMtmoBOK1B4T,Ali Gatie,2068200,['canadian hip hop'],66
3EOEK57CV77D4ovYVcmiyt,Dennis Lloyd,646451,['israeli pop'],64
0Xk15jHKly4c3AhPr5vjoA,Alan Silvestri,274186,"['orchestral soundtrack', 'soundtrack']",55
05kigUQCchmbJDmhDiYiS0,Random,327070,[],50
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,23917181,"['modern rock', 'pop', 'pov: indie', 'rock']",78
4qIVPF0s71ZYW3qzhu5GkF,Kina,786325,['sad lo-fi'],64
7HBai5xymOxIWoMWvWshe1,Teriyaki Boyz,87873,['japanese old school hip hop'],56
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,23429045,"['hip hop', 'rap', 'slap house']",93
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,7644310,"['pop', 'r&b en espanol']",82
5f7VJjfbwm532GiveGC0ZK,Lil Baby,14889003,"['atl hip hop', 'atl trap', 'rap', 'trap']",85
6ZwxWO5sIiXGPgUKjwyK5m,Luca J,10833,[],20
5tFRohaO5yEsuJxmMnlCO9,Barns Courtney,507721,['modern alternative rock'],60
7oPftvlwr6VrsViSDV7fJY,Green Day,14220340,"['modern rock', 'permanent wave', 'punk', 'rock']",77
4m5yhslp7X1DN31Pjd52In,Rinquore,470,[],20
0VitAFMCI2apQxKzDjg1PU,BLOODY VINYL,161187,"['italian hip hop', 'trap italiana']",49
0zoMmzmyi8N8LwzhyXPvtk,Mara Sattei,123634,"['italian hip hop', 'italian pop']",59
29nrwultxQ8jENVmXoyMqK,Carl Brave,777904,"['italian adult pop', 'italian pop', 'rap napoletano', 'rome indie']",57
0YmQyGKpZgGSDxsC8iEGQU,La rappresentante di lista,103994,"['indie siciliano', 'italian alternative', 'italian indie pop', 'italian pop']",50
1gs79u8PKkWAW1yfymbkTt,MILES,37576,"['italian hip hop', 'trap italiana']",45
5FkcU4BVzPptuB6AjobZIL,Taxi B,84686,"['italian hip hop', 'trap italiana']",49
51ltJZ6rB893AdzgCxSOV3,Greg Willen,38099,"['italian hip hop', 'trap italiana']",44
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,11714249,"['canadian contemporary r&b', 'canadian pop', 'pop']",71
6LuN9FCkKOj5PcnpouEgny,Khalid,16079733,"['pop', 'pop r&b']",82
3SEJQy90Vgg1aSnZ9b4AU9,Krizz Kaliko,419736,"['country rap', 'kansas city hip hop']",56
0BEI7i5sgUuivcfwXLzFmM,Serj Tankian,947021,"['alternative metal', 'nu metal']",56
2NOhotupwYbKRNJF7LMDPG,The Jon Spencer Blues Explosion,97640,"['blues rock', 'garage rock', 'punk blues']",40
5icKdCmMhNMYoAzVBAWt39,Dax,1117524,"['canadian hip hop', 'ottawa rap']",65
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,1151333,['alt z'],69
6aX6KqXgEcARRHwvWxHcFW,Johnny Orlando,791509,"['boy pop', 'canadian pop', 'singer-songwriter pop', 'social media pop']",57
5pWUVnrc1y0FpWZ6VCy0Hg,kenzie,569452,['social media pop'],56
65U1A6j2pIHfZXLoitJFXz,Claver Gold,96936,"['italian hip hop', 'italian underground hip hop']",43
5iZW5E9q0Iv8t0Phtp887K,Jack Sapienza,3808,[],24
6vWDO969PvNqNYHIOW5v0m,Beyoncé,35455970,"['pop', 'r&b']",85
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,9639301,"['melodic rap', 'rap', 'trap']",76
7GacyaFUp0qkEJglERX9N7,Alfa,518550,['pop virale italiano'],64
6YgYCNwq3DkSXEd6kGxoZW,Yanomi,19467,[],52
6zvul52xwTWzilBZl6BUbT,Pixies,2605689,"['alternative rock', 'boston rock', 'permanent wave', 'rock']",68
64KEffDW9EtZ1y2vBYgq8T,Marshmello,35245104,"['brostep', 'edm', 'pop', 'progressive electro house']",81
1HwM5zlC5qNWhJtM00yXzG,DMX,4512290,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",68
6Os3fHAI2Fma2UzTD91RU8,Watt White,36358,['rebel blues'],47
6dOgQbtNGEOKGXEsAi0puC,Jorge Quintero,20658,[],41
5v5UYx58FiFAcbWIjZ4kPB,Norman Dück,11472,[],53
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,8384481,"['dance pop', 'pop']",79
1hM06YHQ635cZwwUbn7dpk,Fasma,311968,"['emo rap italiano', 'italian hip hop', 'italian pop', 'pop virale italiano']",48
0kbBijEWCi7FWrBpnpOcHd,GG,2226,[],48
6AyATGg7mDgBlZ4N5uNog0,SYML,655566,['modern indie pop'],69
0p0ksmwMDQlAM24TWKu4Ua,Lily Kershaw,40876,['folk-pop'],45
1cwOthlzLBwN8Imbq7P71H,Dotan,174771,['folk-pop'],50
7Do8se3ZoaVqUt3woqqSrD,MACHETE,445126,"['italian hip hop', 'italian pop', 'trap italiana']",53
59KX7XUUgAOOo5IyDjca0T,Verzache,233122,"['lo-fi chill', 'sad lo-fi']",55
7jdFEYD2LTYjfwxOdlVjmc,KALEO,1600324,"['icelandic indie', 'icelandic rock', 'modern alternative rock']",68
5ghnxpW47ojtLHHyTLdxdY,Witt Lowry,571951,['indie pop rap'],58
7s5VTQxNmyThzeyP5YO9rD,Deion Reverie,4016,['charlotte nc indie'],34
7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,6948148,['emo rap'],71
39G9Mcs99KhOEtVuthwztS,Sik World,468090,"['rap', 'sad rap']",53
2jLEscFAP2hVe8fsJ0HO6I,Giuliano Palma,24130,[],40
73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,3409065,"['belgian dance', 'belgian edm', 'big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",69
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,26420266,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",87
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,33526452,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",86
3wtMPMvPtiFylbnNXF6CAj,Afro Bros,53098,"['basshall', 'dutch hip hop', 'dutch house']",63
1GDbiv3spRmZ1XdM1jQbT7,NATTI NATASHA,9280844,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']",71
2HkAI0YrEcgoR8QdaURqhO,Dimitri Vegas,239353,['belgian edm'],61
4pwXiI7Z5ZStkgKowZyoKi,Like Mike,151326,['belgian edm'],51
6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,10187122,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",78
2HPiMwJktBXqakN0hnON2R,Lous and The Yakuza,205330,['belgian pop'],50
4SGDDnlwi5G42HTGzYl2Fc,2WEI,244963,['epicore'],60
0zJa53LLSg4TcZ5Lm4zFB8,Edda Hayes,12315,[],55
2q3GG88dVwuQPF4FmySr9I,The Score,1320721,"['modern alternative rock', 'pov: indie']",67
4lH0PRAS3yV8O05E5lTqwk,Nahaze,5817,[],45
0vRvGUQVUjytro0xpb26bs,Arizona Zervas,725030,"['pop rap', 'rhode island rap']",64
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,8896570,"['melodic rap', 'rap', 'trap']",79
