album_id,album_name,album_total_tracks,album_type,album_release_date,album_label,album_popularity
2FW0uQ4WL25umm5p2VrZO7,"The Best Of Earth, Wind & Fire Vol. 1",10,compilation,1978-11-23,Columbia/Legacy,69
3fQgV59rik8qhrdYOeJS7l,Homesick,8,single,2022-11-18,NSF Productions LLC,55
7FK1855C3n1Q0RKbmvl7ll,Strictly 4 My N.I.G.G.A.Z...,16,album,1993-02-16,Interscope,66
5IBNSiR9VYaGIxOfcOJ2LB,Jesus Piece (Deluxe),15,album,2012-01-01,Aftermath/The Game,58
21aHeeZe4eCanYhoAPuiaX,MOSTRO,1,single,2023-02-08,Epic,45
4z0nL9bblVphvhmt8o15yO,METAMORPHOSIS (Slowed + Reverb),1,single,2022-06-24,INTERWORLD,63
3jbwWq0IsEUjrQ6wBUqYzh,CENERE,1,single,2023-02-09,Universal Music Italia srL.,65
59N9BoP9P35nwB7j7pYVHX,Egoista,1,single,2023-02-09,Lebonski 360,39
5QvM8XR1GooXrA7TgIr6Ok,I No Longer Fear the Razor Guarding My Heel,3,single,2015-08-01,G59 Records,67
49NVOF8cRsKJtl38a9AGo0,Volare,14,album,2022-05-18,Coez licensed to Carosello Records,59
5EMWV3wcySNCCLpSvNWUyx,under the weather,1,single,2023-02-03,CORPSE,55
3omkMn8vbTKOebb9ABbqyb,Escapism. / The Thrill Is Gone.,4,single,2022-10-12,Human Re Sources,39
5ybXQxAUPKDyPxP69xmf6y,Gravitational Forces (Remix),1,single,2023-01-27,mechvibes,0
1qfURwkRukKvemVbObKJXy,"NOI, LORO, GLI ALTRI (Deluxe)",30,album,2022-12-09,Universal Music Italia srL.,54
3ZOt77e63uMgJXU7xcFpqu,Persona,17,album,2020-03-27,Universal Music Italia srL.,62
0gvVrhmhgrzTQpewucnPBf,"Running Up That Hill - Epic Version (from ""Stranger Things) [Cover]",1,single,2022-06-30,Samuel Kim Music,42
59i1dzyF8wpUTk3KJ5zNXq,"Status (Inediti, Rarità & Live)",35,album,2016-01-22,Universal Music Italia srL.,52
7DvK67C21i6go7olhjvLgT,FLOP,17,album,2021-10-01,Columbia,61
3LZwptqhhFxHpURRLmtVxI,WOAW - feat. Salmo,1,single,2021-12-17,Lebonski 360,34
1D92WOHWUI2AGQCCdplcXL,Young And Beautiful,1,single,2013-01-01,Polydor Records,76
4VODNHZZp8qxuMLJQK2G4u,Creed II (Score & Music from the Original Motion Picture),17,album,2018-11-16,Sony Classical,55
4zRjyCx4wMu480J7tac2Gm,NEON BLADE,1,single,2022-06-01,MoonDeity,69
2lQQ5xfJwzELcecvu8gZN5,Shootout,1,single,2022-06-30,Izzamuzzic / Kurate Music,64
79ONNoS4M9tfIA1mYLBYVX,Mr. Morale & The Big Steppers,19,album,2022-05-13,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,83
5Nwsra93UQYJ6xxcjcE10x,Nine Track Mind,13,album,2016-01-29,Artist Partner,78
4o9NExZng35wpV7pLKvuW0,HEROES & VILLAINS (Heroes Version),30,album,2022-12-05,Republic Records,64
5kSUsy5FU3Wcxd4DBvXFm4,Blade Runner 2049 (Original Motion Picture Soundtrack),24,album,2017-10-05,Epic,55
2XurGuugADHAwF8gEYjtMA,SPIT IN MY FACE!,1,single,2022-12-20,Elektra (NEK),75
2av2ZSHlvD7rvLSsMvtYCG,xx,11,album,2009-08-16,Young,70
3yKGB4IYu6MeLkhFJFn9eI,DISORDER,12,album,2021-10-29,KILL! / EMPIRE,72
4M2Mf4pmARKGVT9MLCe3HA,Avatar: The Way of Water (Original Motion Picture Soundtrack),22,album,2022-12-15,Hollywood Records,63
0JHPsrLQ9rl7SKlHJt7cgN,BEAT MÁGICO QUE MEXE COM A SUA MENTE,1,single,2022-04-15,DJ GUDOG,66
35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),13,compilation,2018-12-14,Universal Records,84
35PCmPg25pADGnMa8K4SzM,Sunset,1,single,2020-01-09,One Side Entertainment,0
20MEFs6buBQ3d9rsncp2zY,R.E.P,1,single,2022-06-03,Reynold Beats,13
2wart5Qjnvx1fd7LPdQxgJ,Drones,12,album,2015-06-04,Warner Records,64
0aIy6J8M9yHTnjtRu81Nr9,STAR WALKIN' (League of Legends Worlds Anthem),1,single,2022-09-22,Columbia,71
5D6d0m5tYnBz0wowzfLlQ6,Extasi,1,single,2022-06-17,WM Italy,60
6LmhYmD5q0vflzqQhkfeN1,Hustle Mixtape,12,album,2022-06-03,Atlantic/WM Italy,66
1dHOdb8VUv8RBGrsS5yyaR,Luxury Fashion,19,album,2021-02-08,Itg Studios,45
3VZiexdNV9MFUGDg2gFakT,So High,1,single,2014-03-11,MAU Records,65
3B61kSKTxlY36cYgzvf3cP,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],30,album,2014-11-18,WaterTower Music,74
7agIpPnZXBhJQcWHAvdQFx,Paradise EP,5,single,2016-12-20,Chase Atlantic Records,72
3cZPj6lCLw8aia3nAiNKo8,TAXI DRIVER (MTV Unplugged),17,album,2021-09-23,Universal Music Italia srL.,31
6tIohwgXp3d1VmiHV38KpT,Set Fire To The Rain x Another Love (Remix),1,single,2022-11-26,Xanemusic,0
7kecFtrnb8dZ101bSYIjXG,Level One,7,album,2022-07-15,Columbia,36
0kR24t9SfPdMWr0WS5M5XP,another love,1,single,2022-04-09,AWL Lacosta,28
7EOvtHDxbltA0GNC4mvLAC,The Definition,11,album,2014-09-23,Capitol Records (CAP),54
7LmeRZOi905AochW9J9FAA,God of War Ragnarök (Original Soundtrack),28,album,2022-11-09,Sony Classical,61
37Uw7gtrH9lXRS8FWC3j2p,Love & Feelings,7,album,2016-03-18,Rugbeats Plus,1
73X5q7MSq6w1dmyEtmtxIb,Love Me (ecstazzz Remix),1,single,2021-07-15,А+,22
1kNIyEnOjfLZ0DMSMRXVXV,Love Me,1,single,2021-05-25,А+,25
0oozY5vsoDRBVnAaStpBGI,WORTH NOTHING (Fast & Furious: Drift Tape/Phonk Vol 1),1,single,2022-09-28,APG Inc – FF10,34
6FGs7C78QM5zwoiQdZAzAC,XO Tour Life (Remix),1,single,2018-05-08,Equinox Studios,10
2u1cNLRLVF515VMPNTLtAz,Afterdark (Slowed),1,single,2021-07-10,Synthellar,21
3coLNlyStg9h7f8CZ103Rl,Ladies And Gentlemen... The Best Of George Michael,29,compilation,1998-11-09,Sony Music Entertainment,74
69vhjxexIUpJCbYGsWdTzD,I Left My Home,1,single,2021-09-24,MJHanks Studios,10
1fOF7wQgufrellrCLSiw81,Suicidal Thoughts,1,single,2022-07-17,Nartuok,0
3fMHmtOJf2KK3HThKh9ZNX,Scialla Semper,8,album,2019-04-12,Pluggers,53
0Wyn0fD9sZIu00xTyXF4eK,Black Panther: Wakanda Forever - Music From and Inspired By,19,compilation,2022-11-04,Roc Nation/Def Jam/Hollywood,1
66nX0SGMQ7DrGiMrZlMkqS,Logico,11,album,2014-01-01,Universal Music Italia srL.,51
0hiyVukTWwoABzyyzq03fN,Caroline,1,single,2020-03-27,WM Canada,49
0CafPkGhvLKbSwto8FQJq1,Give Me a Kiss,1,single,2022-07-22,WM Canada,57
2ZfHkwHuoAZrlz7RMj0PDz,Blinding Lights,1,single,2019-11-29,Republic Records,10
32G4vFNwLJQjpzkOoGEUUo,Miss You,1,single,2022-08-05,Atlantic Records,74
1TGT83DEhv2ovTITDUQA2q,Never Forget,2,single,2022-06-28,Loma Vista Recordings,30
1VE1SYRNN6bjR1NAoJupok,Rozzi,1,single,2019-09-11,White_Trap,52
2rfsAvUblFue3fk5aYgoSh,Osg16,1,single,2017-01-26,Honiro Ent,28
7HsWWsuQm54lWmgCVt2jYM,Ogni maledetto giorno (Deluxe Edition),16,album,2017-09-01,Honiro,50
0gX9tkL5njRax8ymWcXARi,Unholy (feat. Kim Petras),1,single,2022-09-22,Capitol Records UK / EMI,77
5NE8n9E4dMUFvOUZo0tv6p,Feel Something (Deluxe),15,album,2022-01-28,Please Rewind/Atlantic,67
5fNgtPuw6QFGW7M9FdOX5x,Royalty,1,single,2021-04-22,NCS,71
4ogDiddFmcxnT4PC9lVEoV,In The End,3,single,2019-03-22,Tommee Profitt Studios,63
7y6bJIdkErdSMqG2fRt5CS,Cinematic Songs (Vol. 7),13,album,2021-06-18,Tommee Profitt Studios,40
2uiQo0DIcriQKVm5ivXuDO,this is what falling in love feels like (554Hz),3,single,2022-10-03,JVKE,73
1j4IuwSKVaC4Nr8kybQgoo,Tree - Roots & Crown [New Edition],20,album,2018-03-23,The Wolf,0
7oRzNo0PkoRJlvI9Eocyf2,The Golden Age,14,album,2013-01-01,Island Records,64
7nDSuDHGJMKFtUTEEVJvUS,c@ra++ere s?ec!@le,20,album,2022-09-30,Thasup s.r.l.,25
0LhlJioZ7wZAlhD1XbBH6p,2640,13,album,2018-01-12,RCA Records Label,44
5G5rgQHzdQnw32SI0WjIo5,Get Rich Or Die Tryin',20,album,2003-02-06,Shady Records,81
6hPkbAV3ZXpGZBGUvL6jVM,Hybrid Theory (Bonus Edition),15,album,2000-10-24,Warner Records,84
386PuaIwJSmvEYhwgSKJoF,The Devil You Know,1,single,2017-06-06,Kid Ina Korner / Interscope,43
3XbU5jsLBBQ0dGixr1vqFH,Dark Days (Remixes),3,single,2017-01-27,Loma Vista,32
5AF0uxDdW2IKi3r8jqVgmq,Made in the Manor,15,album,2016-03-04,Parlophone UK,48
5ddpf5pxYjw9ob4DjPLuiz,Every Where Is Some Where,12,album,2017-04-07,Dan Reynolds PS,62
0fv4eCmZ59AffuC7kyN93P,FAM,1,single,2020-12-11,YOLOWN LABEL,31
348voXN0JXIBWZRp9JsTDa,In essence X We'll show them all,1,single,2022-08-29,4299319 Records DK,0
1UAkQ5bV8GvKrSMA4Vd1MV,"Red Bull 64 Bars, The Album",14,compilation,2021-05-27,Universal Music Italia srL.,58
6t7956yu5zYf5A829XRiHC,The Marshall Mathers LP,18,album,2000-05-23,Interscope,83
2q47KnbMYvOIRK4gIjdj3g,Silenzio,15,album,2013-05-07,Arcadia Records,33
72qrnM4yUNMDDlWiqKc8iY,Aftermath,11,album,1966-04-15,"ABKCO Music and Records, Inc.",75
2hAi0yG2MGIucH8P08hRFZ,MISA MISA!,1,single,2022-08-26,CORPSE,1
0z3SFl34YWiKMXwsTNPdVp,Money Rain (Phonk Remix),1,single,2021-06-14,SAVAGE$TATION,63
6o2ipzLDelm6yXU0v4ZOIK,Hellvisback,13,album,2016-02-05,Epic,54
3HGwojRJPHyV60qOZ1t44H,"In the house, in a heartbeat",1,single,2021-10-22,2000522 Records DK,32
1o6bsMz4Zj1S1eLC4y5uaJ,Enemy,15,album,2018-04-13,Universal Music Italia srL.,54
3FtwiRgtcCLAiKHDvoj7bO,Arms Around You (feat. Maluma & Swae Lee),1,single,2018-10-25,Warner Records,60
2JnZQM70jbT0J1Xq0qgl24,The Perfect Girl,1,single,2021-12-08,Revolution Records,70
1gjwWKqjQMhi5OvWG38ZEW,Midnite (Deluxe Version),15,album,2013-04-02,Universal Music Italia srL.,57
20r762YmB5HeofjMCiPMLv,My Beautiful Dark Twisted Fantasy,13,album,2010-11-22,Roc-A-Fella,81
3StmlOv5fGGcEYCFCbmZ6y,The Island Chainsaw Massacre,17,album,2011-02-01,Kick Off! Recordz,52
4z4zCeqiEjTTBI0a8Uyl0S,FSK TRAPSHIT REVENGE,18,album,2019-12-05,Universal Music Italia srL.,52
2PjyVGPJwYRg9GbNXlicKM,Potere,16,album,2018-06-29,Universal Music Italia srL.,63
4oB0i1S43BE1uM7eopeurT,BM (London View),1,single,2021-07-23,Touch Paper Records,30
52JymrguPgkmmwLaWIusst,"Come Over When You're Sober, Pt. 2",13,album,2018-11-09,Columbia,76
5TjtyQAqwclzC1NqclBIAP,Signore del bosco,1,single,2022-04-15,Masterworks,41
3je4pZvIvrynVSnbaOnMWg,Desperate (For) Humanity,11,album,2020-07-24,187 Collective,45
6UMKao3ady9sgSr5VJvLvo,I Win,1,single,2017-04-12,Dench Records,31
6qarDmB5GzLM0JLOgFVL0a,Burning Man,1,single,2017-01-18,John Varvatos/Republic Records,44
4PBXjrqtjZmYtt37kB7px5,CASTLES II,5,single,2021-07-02,Lil Peep,1
3REFrRc7Ydhl9H5M1cuD2D,Gipsy Prince,11,album,2018-11-16,Shut Up,41
5RKbLMLVSzm7fl8cYG4bNE,Sweet Dreams,1,single,2022-02-02,Ravens Rock,36
0LHWAAN1t9MHgpkPjdXrkW,Bravo Ragazzo (Royal Edition),28,album,2013-01-01,Universal Music Italia srL.,58
6wewhHwggMbYLo3FRzS2wv,Lucifer: Seasons 1-5 (Original Television Soundtrack),13,album,2020-08-21,WaterTower Music,53
4mugszxpE45gV3mObOBlpN,Love Story,18,album,2015-04-21,Slumerican/DGC,62
3kEtdS2pH6hKcMU9Wioob1,Illmatic,10,album,1994-04-19,Columbia,72
5wrmfMK1O0xCjlVff6lSRF,My Demons,1,single,2021-04-30,ONLAP,31
