track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature
4FxkQzIhsLAkuiqX5puvU6,2022-07-25T07:59:05Z,Till It's Gone,4mugszxpE45gV3mObOBlpN,68DWke2VjdDmA75aJX5C57,[],275546,True,65,4,128.968,0.714,0.523,0.359,-7.552,0.466,0.00359,0.113,0,0.0683,4
0trHOzAhNpGCsGBEu7dOJo,2022-07-09T19:00:55Z,N.Y. State of Mind,3kEtdS2pH6hKcMU9Wioob1,20qISvAhX20dpIbOOzGK3q,[],293973,True,74,6,84.099,0.91,0.665,0.887,-4.682,0.0394,0.0,0.227,0,0.223,4
1d7vqdPSiLY4s8yKCKahOH,2022-07-06T07:05:50Z,My Demons,5wrmfMK1O0xCjlVff6lSRF,2zPGFp4GWeCgriWz13XR6r,"['1BbI77tXAW1gC8iBYJGwMB', '5vkIUHgmiNIPn4Beoh2QPc']",188965,False,42,3,173.954,0.718,0.355,0.615,-5.334,0.0904,0.0,0.0856,0,0.035,4
6xGruZOHLs39ZbVccQTuPZ,2022-06-23T06:42:23Z,Glimpse of Us,6ZZvx0aefZV3LKa053fn71,3MZsBdqDrRTJihTHQrO6Dq,[],233456,False,85,8,169.914,0.317,0.44,0.268,-9.258,0.891,4.78e-06,0.141,1,0.0531,3
2OIK5BqmbOWPZCNQwt4gsN,2022-06-14T04:56:47Z,Underworld,3XRIludkVBu3gebPogPMvW,7cG98wfpXvT5BwGU85RaOA,[],208950,True,68,8,120.002,0.816,0.838,0.551,-7.495,0.134,0.000464,0.156,1,0.124,4
4VnR7plUitZ788acvBHdP6,2022-06-11T16:25:27Z,"I spoke to the devil in miami, he said everything would be fine",7vNqlfthayItIbI0Ssmfoa,15UsOTVnJzReFVN1VCnxy4,[],178880,False,64,2,76.479,0.197,0.348,0.215,-13.646,0.979,0.00294,0.189,1,0.0374,4
1lXHSDFD4ljZLyLB58hpvd,2022-06-11T16:22:59Z,True Love,7vNqlfthayItIbI0Ssmfoa,5K4W6rqBFWDnAN6FQUkS6x,['15UsOTVnJzReFVN1VCnxy4'],148626,False,54,5,83.999,0.839,0.723,0.427,-5.476,0.0205,4.85e-06,0.335,0,0.22,4
1NlbmDUSYds1GJWHQkhm1D,2022-06-08T04:51:40Z,Die Trying,0w7mvWZKNnIvIAnbzXoJbQ,3GAHYVHU0HppTq2qgzejcv,[],232687,False,52,9,154.928,0.939,0.289,0.144,-4.135,0.0147,2.93e-05,0.352,0,0.341,4
6TCKkbyGVo5uvTEfJvkcE3,2022-06-08T04:12:04Z,life waster,3v3XnEkDxBDcRQhXy02e2Q,7yntSJ6uojO3z6GFUVwhAW,[],141639,True,62,2,121.941,0.816,0.681,0.163,-9.826,0.223,0.00248,0.315,0,0.375,4
3kTHcnhGtg2B64IsrolJc9,2022-06-08T04:06:15Z,Duel of The Fates - Epic Version (Remastered),7HgP8UpL3pItKEG3T3RoUy,2bdcBjvuI9worc472GbeU0,[],185243,False,0,4,77.096,0.728,0.318,0.29,-8.923,0.108,0.868,0.217,0,0.0556,4
0OTNHGKcqQbk51bOYe462Y,2022-06-07T17:18:06Z,ULTRA SOLO,1HeGenNhHCIMcnFsSlvprd,768O5GliF0bqscyghggrbE,['4yxLYO2imECxGYTTV7RQKb'],227220,False,77,1,109.982,0.846,0.802,0.26,-4.495,0.233,1.92e-05,0.114,1,0.207,4
75FEaRjZTKLhTrFGsfMUXR,2022-06-07T17:03:33Z,Running Up That Hill (A Deal With God),5BWl0bB1q0TqyFmkBEupZy,1aSxMhuvixZ8h9dK9jIDwL,[],298933,False,34,10,108.375,0.547,0.629,0.197,-13.123,0.72,0.00314,0.0604,0,0.055,4
4YhH8TVZAe2AUaz2oigGeQ,2022-06-07T15:52:16Z,CASA,60up5WdoThgFRGkyZVIlIq,754BUADwzMYecBgOoBaetK,['4kTOsBwxhA2Sn4PSs7PqnN'],197247,False,60,8,152.588,0.76,0.356,0.1,-7.877,0.138,0.109,0.234,1,0.143,5
