,track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature,brano_ascoltato_freq,artista_ascoltato_freq,artista_singolare_importante,coll_artista_asc_freq,sim_struttura_musicale_brano_asc_freq,sim_emozioni_brano_asc_freq,macro_categoria_artista_asc_freq,genere_asc_freq,ha_composto_canzone,stesso_genere_artista_asc_freq,stesso_album_brano_asc_freq,stesso_artista_brano_asc_freq,brano_freq_importante,artista_freq_importante,coll_artista_freq_imp,macro_categoria_artista_freq_imp
101,0XRbYXQUymj9SJkrr8YK5B,2023-02-13T12:39:25Z,Keep Ya Head Up,7FK1855C3n1Q0RKbmvl7ll,1ZwdS5xdxEREPySFridCfh,[],262506,True,73,4,172.329,0.732,0.598,0.595,-7.013,0.144,0.0,0.508,1,0.425,4,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
118,77N9HTxta6wLhJMj5KmuYi,2023-01-30T23:01:29Z,WOAW - feat. Salmo,3LZwptqhhFxHpURRLmtVxI,68zhfroQU8MwS3DiuWBRRh,['3hBQ4zniNdQf1cqqo6hzuW'],171548,True,45,0,119.725,0.747,0.787,0.487,-8.378,0.252,2.81e-05,0.366,1,0.177,4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
157,4jDmJ51x1o9NZB5Nxxc7gY,2022-11-25T18:21:56Z,Careless Whisper,3coLNlyStg9h7f8CZ103Rl,19ra5tSw0tWufvUp8GotLo,[],300106,False,82,2,153.119,0.628,0.574,0.803,-8.815,0.13,0.0,0.271,0,0.036,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0vLj7fwt3HM36zo7HEghCL,2022-11-09T23:32:53Z,Alone,0Wyn0fD9sZIu00xTyXF4eK,3wcj11K77LjEY1PkEazffa,[],221746,False,1,4,90.153,0.667,0.607,0.317,-7.236,0.153,0.0,0.113,0,0.049,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,4yNk9iz9WVJikRFle3XEvn,2022-10-19T07:08:40Z,golden hour,2uiQo0DIcriQKVm5ivXuDO,164Uj4eKjl6zTBKfJLFKKK,[],209259,False,84,4,94.467,0.593,0.515,0.153,-4.801,0.653,0.162,0.25,1,0.0322,3,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
203,3bpR5jv8uzraDgq5YpHwDw,2022-08-27T14:49:28Z,MISA MISA!,2hAi0yG2MGIucH8P08hRFZ,7yntSJ6uojO3z6GFUVwhAW,"['6rYogEVj60BCIsLukpAnwr', '2W6WP4pHQTFlbr2z9S4n54']",85894,True,5,1,95.014,0.981,0.672,0.694,-1.252,0.0302,2.36e-05,0.648,1,0.181,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
234,1lXHSDFD4ljZLyLB58hpvd,2022-06-11T16:22:59Z,True Love,7vNqlfthayItIbI0Ssmfoa,5K4W6rqBFWDnAN6FQUkS6x,['15UsOTVnJzReFVN1VCnxy4'],148626,False,54,5,83.999,0.839,0.723,0.427,-5.476,0.0205,4.85e-06,0.335,0,0.22,4,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
255,2Foc5Q5nqNiosCNqttzHof,2022-05-02T21:51:09Z,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],2ePFIvZKMe8zefATp9ofFA,4tZwfgrHOc3mvqYlEYSvVi,"['2RdwBSPQiwcmiDo9kixcl8', '3yDIp0kaq9EFKe07X1X2rz']",248413,False,83,6,116.047,0.811,0.794,0.862,-8.966,0.0426,1.07e-06,0.101,0,0.038,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
263,48QmG1dfvMuYLxMPt7KSRA,2022-04-14T19:57:29Z,No Lie,5xrOcCoO3jkXRjHQjfESM6,3Isy6kedDrgPYoTS1dazA9,['6M2wZ9GZgrQXHCFfjv46we'],221176,False,84,7,102.04,0.882,0.742,0.463,-2.862,0.0466,0.0,0.206,1,0.117,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
270,4gHnSNHs8RyVukKoWdS99f,2022-03-28T17:16:51Z,Something In The Way,2UJcKiJxNryhL050F5Z1Fk,6olE6TJLqED3rqDCT0FyPh,[],232146,False,75,8,105.218,0.201,0.427,0.0668,-13.044,0.745,0.263,0.109,1,0.0317,4,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
