id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto
3VtGh8xE9qRsFyY2Uj1WG3,Hoe_(feat._Sfera_Ebbasta),La_Divina_Commedia,2023-06-02,Tedua,['Sfera_Ebbasta'],"['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",85,2,114,0.76,0.94,0.41,-6.62,0.1,0.0,0.16,1,0.117,4,0.406,0.0,0.0,0.0,1.0,0.0,0.0
1K9qAxGT4cWUicf2OezSen,VETRI_NERI,VETRI_NERI,2023-05-19,AVA,"['ANNA', 'Capo_Plaza']","['italian hip hop', 'trap italiana']",84,6,134,0.77,0.75,0.53,-4.98,0.08,0.0,0.11,1,0.059,4,0.529,0.0,0.0,0.0,1.0,0.0,0.0
0cefXmvbKCLgPnSoWqclfz,"BON_TON_(feat._Lazza,_BLANCO,_Sfera_Ebbasta_&_Michelangelo)","BON_TON_(feat._Lazza,_BLANCO,_Sfera_Ebbasta_&_Michelangelo)",2023-06-22,Drillionaire,"['Lazza', 'BLANCO', 'Sfera_Ebbasta', 'Michelangelo']",[],75,11,130,0.73,0.64,0.64,-7.8,0.09,0.0,0.71,1,0.041,4,0.644,0.0,0.0,0.0,0.0,0.0,0.0
6gs7AIeuNkpktUbwZcES2Y,Un_milione_di_volte_(feat._Sfera_Ebbasta),Santana_Season,2023-06-09,Shiva,['Sfera_Ebbasta'],"['italian hip hop', 'italian pop', 'trap italiana']",81,7,140,0.65,0.73,0.31,-5.87,0.25,0.0,0.12,0,0.057,4,0.306,0.0,0.0,0.0,1.0,0.0,0.0
6VOoSi7mgFrKCeymxG6wKB,DISCO_PARADISE,DISCO_PARADISE,2023-05-25,Fedez,"['Annalisa', 'Articolo_31']","['italian adult pop', 'italian pop']",81,2,123,0.92,0.78,0.84,-1.75,0.07,0.0,0.11,1,0.068,4,0.841,0.0,0.0,0.0,1.0,0.0,0.0
2hHC2jw8qiE4IAPDGjU4Fu,"Gelosa_(feat._Shiva,_Sfera_Ebbasta,_Guè)","Gelosa_(feat._Shiva,_Sfera_Ebbasta,_Guè)",2023-02-24,Finesse,"['Shiva', 'Sfera_Ebbasta', 'Guè']",[],83,7,150,0.67,0.73,0.48,-5.5,0.04,0.0,0.1,1,0.07,4,0.479,0.0,0.0,0.0,0.0,0.0,0.0
3mMjLv3IyxlEKmXg3JxCI5,Rubami_la_Notte,Fake_News,2022-12-02,Pinguini_Tattici_Nucleari,[],"['bergamo indie', 'italian indie pop', 'italian pop', 'milan indie']",68,7,77,0.88,0.55,0.64,-5.19,0.07,0.0,0.61,1,0.038,4,0.642,0.0,0.0,0.0,1.0,0.0,0.0
5x9LonDyHxGUO2VzfHJHLE,COME_VUOI,IL_CORAGGIO_DEI_BAMBINI,2023-01-06,Geolier,[],"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",81,8,130,0.63,0.76,0.9,-5.3,0.13,0.0,0.06,0,0.05,4,0.896,0.0,0.0,0.0,1.0,0.0,0.0
1UcJs6RsX9upkeaFCNPBNs,Mon_Amour,Mon_Amour,2023-03-31,Annalisa,[],"['italian adult pop', 'italian pop']",82,0,124,0.81,0.76,0.72,-3.02,0.01,0.0,0.24,0,0.095,4,0.717,0.0,0.0,0.0,1.0,0.0,0.0
3QAU2pj4LUKf7yaTgANlQV,ITALODISCO,ITALODISCO,2023-05-05,The_Kolors,[],"['italian adult pop', 'italian pop']",76,11,123,0.58,0.89,0.82,-5.14,0.0,0.0,0.07,0,0.06,4,0.817,0.0,0.0,0.0,1.0,0.0,0.0
3xee23Fj4m6DVu9UrWX5Up,Ci_pensiamo_domani,Ci_pensiamo_domani,2023-05-12,Angelina_Mango,[],[],79,11,122,0.67,0.86,0.76,-3.57,0.04,0.0,0.25,0,0.074,4,0.759,0.0,0.0,0.0,0.0,0.0,0.0
7Da5kjy5GByLHE5OPQ4tpg,IL_MALE_CHE_MI_FAI_(feat._Marracash),IL_CORAGGIO_DEI_BAMBINI_-_ATTO_II,2023-04-07,Geolier,['Marracash'],"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",82,6,109,0.8,0.73,0.51,-7.16,0.14,0.0,0.1,0,0.122,4,0.51,0.0,0.0,0.0,1.0,0.0,0.0
0mHC3BK9vFGoEU0EcGPWRZ,CENERE,SIRIO,2022-04-07,Lazza,[],"['italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",76,2,120,0.63,0.65,0.32,-6.53,0.3,0.0,0.22,0,0.107,4,0.317,0.0,0.0,0.0,1.0,0.0,1.0
3UYr4TdhtCthMH9ujhx0BA,Pelé,Pelé,2023-03-16,Rhove,['Madfingerz'],"['italian hip hop', 'trap italiana']",80,9,102,0.71,0.8,0.52,-7.2,0.14,0.0,0.07,0,0.423,4,0.515,0.0,0.0,0.0,1.0,0.0,0.0
6ds6kgkB0qRSpSnxcBomCO,Un_Briciolo_Di_Allegria_(con_MINA),Innamorato,2023-04-13,BLANCO,['Mina'],"['italian hip hop', 'italian pop']",80,2,92,0.71,0.62,0.39,-4.31,0.47,0.0,0.05,1,0.04,4,0.392,0.0,0.0,0.0,1.0,0.0,0.0
5vHWd8yLGCxb8s9RaThO9w,Non_litighiamo_più,Non_litighiamo_più,2023-03-31,Rocco_Hunt,[],"['italian adult pop', 'italian hip hop', 'italian pop', 'pop virale italiano', 'rap napoletano']",79,6,135,0.84,0.66,0.72,-4.33,0.04,0.0,0.15,1,0.145,4,0.723,0.0,0.0,0.0,1.0,0.0,0.0
4e1U6KRJGed8gh3uRbAv3P,"MIRAGE_(feat._Ozuna,_GIMS_&_Sfera_Ebbasta)","MIRAGE_(feat._Ozuna,_Sfera_Ebbasta_&_GIMS)",2023-04-14,AriBeatz,"['Ozuna', 'GIMS', 'Sfera_Ebbasta']",[],84,7,172,0.6,0.7,0.42,-7.17,0.03,0.0,0.07,1,0.325,4,0.421,0.0,0.0,0.0,0.0,0.0,0.0
